source_id,ra,dec,radial_velocity,radial_velocity_error
4067303247324988544,267.0297954985794,-24.877913774099106,8.416739,2.3950722
4067303316044469504,267.0273606541994,-24.873566971933453,-81.312225,4.5001283
4067303346068934784,267.03521427648485,-24.861673837656753,-14.259402,0.32301036
4067303625282146432,266.97379597645215,-24.88104196663005,-75.27439,2.097247
4067304552995120384,267.0000023278456,-24.81011807990137,-6.0889554,2.1541502
4067309535157907840,267.09485838567934,-24.79307148233554,-37.718796,1.3490632
4067309672596820352,267.1385828237979,-24.80246393551584,152.66699,2.5321696
4067310183656969472,267.0504883925782,-24.804611308708868,14.725737,0.46267915
4068054621752213760,266.9486515070602,-24.832950338413553,-36.769173,2.890189
4068055210246486016,267.0036537988368,-24.791579971437795,-96.00739,6.8847504
4067303968879548160,266.9796860220653,-24.85244162085347,-50.078552,2.8425279
4067310359791650944,267.07914240036854,-24.783044700999753,8.12647,3.865187
4067310394150632704,267.025517204889,-24.800473988055263,-89.43424,4.7596436
4067311180089465088,267.1050718019957,-24.72038910551125,-20.755531,1.3018507
4068054694779451008,266.94071056687835,-24.82817503138531,-63.720722,1.6017836
4068055553843911424,266.97705641123116,-24.75857541396552,-1.2365615,6.2187333
4068055725689146112,266.90365854843475,-24.79586276203352,-25.85472,2.9227333
4068056275398447744,266.9422454892808,-24.75500935137049,-41.920334,4.2577395
4068061085694262016,267.0098922387227,-24.782851886100318,76.216255,14.429696
4068061287541649664,267.02477292069403,-24.745918928368706,-16.758715,3.294213
4068063009841639296,266.99166595348123,-24.678324999567895,147.05551,4.1589923
4067303449148157440,267.0453808343004,-24.857185781392904,-47.24875,5.954661
4067309260279949440,267.1200489762807,-24.82479221927333,26.090826,7.297119
4067309913115030400,267.10485168271043,-24.785723270460558,-0.42752516,7.231054
4067310703389018624,267.1208894391822,-24.768416810910317,-23.975922,7.4630575
4068056653355614464,266.92403690860334,-24.717882363645725,109.11811,1.2761848
4068061635518395648,267.0591104251922,-24.74409162348353,-0.517978,0.6907322
4068062391432722304,266.97953411947805,-24.71399382343053,20.389782,1.7250239
4068062391432730112,266.9773958411684,-24.710595098370195,-27.615513,5.3712516
4068062425792468608,266.9973003124577,-24.696807522999084,20.527336,4.3494425
4068054930989638144,266.9339166211511,-24.803286360053963,-15.606898,0.9372239
4068056137959481984,266.93057468916015,-24.777523618027367,-42.79736,0.48123443
4068056653355611264,266.92460146509916,-24.720901481779944,12.264684,4.1366577
4068061802937845504,267.08261016849053,-24.702163850528983,-51.606464,8.172561
4068061807317096576,267.0888314995422,-24.70557519680627,64.11406,7.2453322
4067302869367866624,267.01647284998745,-24.889151200213256,27.808807,7.4915004
4067303384763932544,267.05728576769997,-24.864988421707544,-45.01772,4.7968616
4067310119272683136,267.0596893148154,-24.824447037063493,-14.7622795,9.719471
4067310183656964096,267.04417915416605,-24.807518285039055,50.95019,2.1281805
4067311150065676288,267.0843232785255,-24.727238827654666,-28.522978,1.2732601
4068054656111959168,266.9460578852364,-24.829829308345065,-12.540293,3.7883618
4068056412837423488,266.9017368895181,-24.762273531950672,87.7457,5.9057817
4068061321905439360,267.03766753288465,-24.742457140658065,-5.2103534,2.8319962
4068061704237885824,267.047359358826,-24.729972968090692,-32.518448,6.550462
4068061876036586880,267.0804314683035,-24.699115171753547,18.80222,3.4319546
4068062494511983360,266.9561597784124,-24.69701881025048,7.0154743,11.442255
4068062563231478144,266.9417191496449,-24.694206157715644,80.258354,8.810809
4067303311706252032,267.0289958815438,-24.869521546592722,5.679258,0.40810853
4067303346065990144,267.0328953043487,-24.854607000616127,-23.19985,0.5627455
4067303380425728640,267.04878070882006,-24.858375136322046,-8.325204,17.928299
4067304346836675968,266.98842321805375,-24.836603119132764,-70.519646,5.2356896
4067304587339237632,267.0129469256384,-24.80154762558264,-81.291824,6.7791753
4067309328999447936,267.08528544635095,-24.82999976660414,-23.38521,2.5410485
4067310050553982720,267.12624219517113,-24.77178137199536,76.18297,3.8540936
4068055308948069120,266.9465423885208,-24.790335866039076,-18.890236,8.750767
4068056412837424256,266.9035399521709,-24.759144622334727,34.74932,5.5797687
4068061498079477760,267.0148335882171,-24.7302593265877,21.93515,7.9714165
4068062322713236096,266.9859935049734,-24.716482769502772,-78.84012,3.7304993
4068062838109345152,267.0162719265982,-24.672506938512885,64.40923,2.5187652
4067303242989672448,267.0264328030516,-24.883722466625056,-12.573346,14.889353
4067303384763939968,267.05822008186385,-24.856506467258956,31.791485,2.0648484
4067303968880307840,266.98054150266927,-24.857174927174285,-38.016384,6.597887
4067309260279960576,267.1154866107147,-24.81806047727278,66.99878,2.435406
4067311115705919744,267.11904975935875,-24.72673014537593,-59.409763,3.5629385
4067311145726597888,267.0858137983751,-24.719406063179992,58.63155,0.46060455
4068056206679208064,266.9140139192432,-24.76519502294489,53.507973,2.016233
4068061081383158144,267.0134887374777,-24.77430398679007,-11.3145275,12.32401
4068061841676841216,267.07242692490865,-24.710527142547086,-82.24368,9.833412
4068062872469061504,267.02972789481817,-24.678110275497495,-12.906855,1.8662955
4068063353505350272,267.0812176087815,-24.683891248588466,85.94828,3.6589348
