source_id,ra,dec,pmra,pmdec,x_arcmin,y_arcmin,R_arcmin,dpmra,dpmdec,pm_speed,pm_tan,pm_rad,theta_deg,membership_prob,parallax,parallax_error,dist_pc_raw
6083438514674490496,201.90355564538223,-48.05483767449067,-2.837177919700244,-6.824378778445402,8.496851117313854,-34.19026046944026,35.230248223337384,0.40693690485135825,-0.03858400871248957,0.40876199708183353,0.3856185204212463,0.1355902908266582,166.0437713585588,0.9304058737626424,-0.1743915471308476,0.32465017,
6083440709402599680,202.10337570857232,-48.05606049280649,-3.5219477617120902,-6.463724119726782,16.598953659488252,-34.26362956838929,38.07258296713843,-0.27783293716048796,0.3220706500061299,0.4253476749279284,-0.1096203283563352,-0.4109793524955285,154.1522155166944,0.9426871317786982,-0.1433838596258755,0.15464884,
6083440881212364160,202.07569169994423,-48.05209797136322,-3.1838533828383246,-7.31467478835776,15.476450377774169,-34.02587828179307,37.38022082790715,0.06026144171327763,-0.5288800186248475,0.5323020904129363,-0.1641171921232294,0.5063704796960115,155.54189303306188,0.966647692281488,0.2909112490580765,0.4909139,3437.4744986240235
6083443973577804032,202.0452648934549,-48.01662275232135,-3.74024918957256,-6.564560663289364,14.242734892593761,-31.897365139280822,34.932755403049946,-0.49613436502095754,0.22123410644354813,0.5432254025803873,-0.36282280414778856,-0.40429376794474503,155.9383974567691,0.916218511133336,0.2928976954776078,0.18794836,3414.161379349093
6083444321482241280,202.08346264626456,-47.97917682190921,-4.242334703735355,-6.610668274703196,15.79153887755705,-29.650609314552838,33.59362041884803,-0.9982198791837527,0.17512649502971644,1.0134654490701787,-0.7987323324606889,-0.6238099690938953,151.96080062614118,0.9253380844590844,0.987513235658062,0.7995237,1012.6446551712464
6083444699442075264,202.184070326992,-47.93357050169772,-2.732900618774134,-7.320842622192881,19.870877722569347,-26.91423010186341,33.45485859245788,0.5112142057774682,-0.5350478524599689,0.7400109246563271,0.0934712159980774,0.7340839872865728,143.56140800337218,0.9789836817285336,-1.4557062099699352,0.4960511,
6083445932085004416,202.11581922449795,-47.884453248440565,-3.115448257449477,-6.6788660690805965,17.10350080257869,-23.967194906433917,29.44411947039344,0.1286665671021252,0.10692870065231563,0.16729863272913564,0.16684594063149705,-0.012298967754619486,144.48753738297654,0.9841595843030994,0.3109229240387515,0.17754509,3216.23117076876
6083446623573098624,202.2384106164788,-47.85999899427652,-3.8256083465825,-6.6376464476037,22.074213016155806,-22.499939656591437,31.520123172869713,-0.5814935220308977,0.14814832212921214,0.6000688639761264,-0.3113348092552609,-0.5129846762424675,135.5472139480465,0.9091374954933392,0.1922931333271584,0.3855084,5200.393704639716
6083447581352679168,202.17562849703955,-47.8330782050294,-4.042771120582216,-6.835949566251335,19.528586909392267,-20.884692301764147,28.592587837008626,-0.798656296030614,-0.050154796518422806,0.800229581309729,-0.6176126274706042,-0.5088438121781583,136.9218923500308,0.9814320461199292,-0.1744710653026696,0.38638812,
6083448032330819968,202.2448315572645,-47.80854108988344,-3.36907022729613,-6.456697440811286,22.334562852064845,-19.4124653930065,29.59183181939756,-0.12495540274452788,0.3290973289216259,0.3520211706394887,0.16641594125887513,-0.31020096562280175,130.99609272430936,0.9385306600668596,-0.2823948064663515,0.59146464,
6083461432626180224,201.62671619859404,-48.06868168115048,-3.749001341263076,-6.409283043028642,-2.728155770322765,-35.02090086902882,35.12700288361489,-0.5048865167114736,0.3765117267042699,0.6298186049196037,-0.5326034604674738,-0.33616220638398375,-175.5456096357254,0.9555052219660554,0.1366665379036763,0.4077258,7317.080064652023
6083464555062650368,201.5907411458712,-48.041641331506334,-3.283537699020348,-6.448505135164114,-4.186835952219008,-33.39847989038006,33.65988791245323,-0.03942287446874593,0.33728963456879857,0.33958571910333946,-0.08107099036058432,-0.3297665161002345,-172.8546711569331,0.9685191542411398,0.3241371205337758,0.17710671,3085.1140972476114
6083464658148598784,201.5959255934644,-48.03303513463975,-3.2987088032781555,-7.16991867717333,-3.97662219613271,-32.882108078385244,33.121693129569685,-0.05459397872655325,-0.3841239074404177,0.3879841218149139,-0.00808079017807966,0.38789996082828854,-173.10437936978755,0.9740289144901852,0.7725013063417004,0.61489874,1294.4961928098928
6083464937319412096,201.5123409478812,-48.05962671476576,-3.225684384936695,-6.614517808192517,-7.36572816804933,-34.4776028859458,35.25562440528565,0.01843043961490709,0.1712769615403955,0.1722657210791191,-0.017760064462393955,-0.17134777141591445,-167.94072639972254,0.9138822643812554,0.0911295763760107,0.66744375,10973.385806973243
6083465414056171648,201.55780481379884,-48.02004714865367,-2.9436455292855985,-6.390439703452604,-5.522305151622945,-32.10282891922006,32.57433773393333,0.30046929526600374,0.3953550662803078,0.49657570000067014,0.22909577235669104,-0.4405707127345696,-170.23954644721812,0.9790029518279668,0.279845809946118,0.3247764,3573.3963649216034
