source_id,ra,dec,parallax,parallax_error,pmra,pmdec,membership_prob,x_arcmin,y_arcmin,R_arcmin,dpmra,dpmdec,pm_speed,theta_deg,pm_tan
6083438514674490496,201.90355564538223,-48.05483767449067,-0.1743915471308476,0.32465017,-2.837177919700244,-6.824378778445402,0.9304058737626424,8.496851117313854,-34.19026046944026,35.230248223337384,0.36282208029975616,-0.12437877844540157,0.3835491395905002,166.0437713585588,0.32211392309724335
6083440709402599680,202.10337570857232,-48.05606049280649,-0.1433838596258755,0.15464884,-3.5219477617120902,-6.463724119726782,0.9426871317786982,16.598953659488252,-34.26362956838929,38.07258296713843,-0.32194776171209005,0.2362758802732179,0.3993452802654724,154.1522155166944,-0.18672666538809074
6083440881212364160,202.07569169994423,-48.05209797136322,0.2909112490580765,0.4909139,-3.1838533828383246,-7.31467478835776,0.966647692281488,15.476450377774169,-34.02587828179307,37.38022082790715,0.016146617161675536,-0.6146747883577595,0.6148868259187394,155.54189303306188,-0.2397947586117478
6083443973577804032,202.0452648934549,-48.01662275232135,0.2928976954776078,0.18794836,-3.74024918957256,-6.564560663289364,0.916218511133336,14.242734892593761,-31.897365139280822,34.932755403049946,-0.5402491895725596,0.13543933671063613,0.556967683768479,155.9383974567691,-0.4380845118751215
6083444321482241280,202.08346264626456,-47.97917682190921,0.987513235658062,0.7995237,-4.242334703735355,-6.610668274703196,0.9253380844590844,15.79153887755705,-29.650609314552838,33.59362041884803,-1.0423347037353548,0.08933172529680444,1.0461557206054812,151.96080062614118,-0.8779992538668112
6083444699442075264,202.184070326992,-47.93357050169772,-1.4557062099699352,0.4960511,-2.732900618774134,-7.320842622192881,0.9789836817285336,19.870877722569347,-26.91423010186341,33.45485859245788,0.46709938122586614,-0.6208426221928809,0.7769346133832108,143.56140800337218,0.0070223700257961985
6083445932085004416,202.11581922449795,-47.884453248440565,0.3109229240387515,0.17754509,-3.115448257449477,-6.6788660690805965,0.9841595843030994,17.10350080257869,-23.967194906433917,29.44411947039344,0.08455174255052311,0.021133930919403632,0.08715297014121817,144.48753738297654,0.08110048256765764
6083446623573098624,202.2384106164788,-47.85999899427652,0.1922931333271584,0.3855084,-3.8256083465825,-6.6376464476037,0.9091374954933392,22.074213016155806,-22.499939656591437,31.520123172869713,-0.6256083465824998,0.06235355239630014,0.6287080155446781,135.5472139480465,-0.40290909966326727
6083447581352679168,202.17562849703955,-47.8330782050294,-0.1744710653026696,0.38638812,-4.042771120582216,-6.835949566251335,0.9814320461199292,19.528586909392267,-20.884692301764147,28.592587837008626,-0.8427711205822161,-0.1359495662513348,0.8536658867796759,136.9218923500308,-0.7084324989914977
6083448032330819968,202.2448315572645,-47.80854108988344,-0.2823948064663515,0.59146464,-3.36907022729613,-6.456697440811286,0.9385306600668596,22.334562852064845,-19.4124653930065,29.59183181939756,-0.16907022729612997,0.2433025591887139,0.2962783776547703,130.99609272430936,0.07272230989377475
