source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe
4418720696961019008,229.07509314323437,-0.3138864735790353,0.1656384,0.14784078,0.5217907933657571,0.18548392,-7.974524285891411,0.21957846,-3.791332635869572,0.19908403,18.665329,18.99713,18.159067,0.8380623,0.99780494
4418721388451469440,229.1345052937815,-0.26050777987416573,0.46282113,0.44313613,-0.18579443637243961,0.5344661,-17.899640500253945,0.59492195,5.766961685113442,0.56856626,19.984798,21.435253,18.928404,2.5068493,0.8982282
4418722036990999424,228.9494325724715,-0.3382417230876284,0.5174086,0.4809743,0.9429792330496906,0.61908734,-7.699398729027253,0.6656228,1.7807484185071918,0.6620536,20.150814,21.231571,18.999893,2.231678,1.0047432
4418723862352607360,228.93870997623148,-0.24645323661422527,0.05091047,0.047957707,0.38174053865214436,0.061120436,-7.9527797091420585,0.067540154,3.5156120840261216,0.054141246,16.317263,16.655989,15.823507,0.8324814,1.0683652
4418723892416710656,228.95530504456931,-0.22553796596235373,0.6012107,0.57354134,0.3057815807065681,0.7245573,-13.331974187243294,0.83020854,1.7121498472354277,0.7079992,20.204838,21.001783,19.312397,1.6893864,0.9741414
4418724201654528768,229.0178780703039,-0.2689383531934466,0.2517509,0.2209911,0.7657405134456818,0.28450385,-8.214686271259788,0.3009805,-6.628667358125161,0.2887404,19.062553,19.689827,18.310966,1.3788605,1.1061301
4418724373453247872,229.04674529481323,-0.2404816792240436,0.46743363,0.53199625,0.16385970919686188,0.6143035,-2.2735395655025274,0.66178375,-2.480098170596567,0.72013617,20.101768,20.459875,19.649755,0.8101196,0.95736486
4418724820129648128,229.05719046110926,-0.22113143664238044,0.13200285,0.11964726,1.1130562296701816,0.15702337,-14.374592382608313,0.16729783,1.1974786444324401,0.14603534,18.225357,19.023891,17.301252,1.7226391,0.905022
4418725335525900288,228.98958250276854,-0.229088081140726,0.85055727,0.7452583,1.008184197974078,0.87515277,3.8193071213130496,1.4431562,-2.05828569732849,1.3670143,20.462774,21.3052,19.321754,1.9834461,1.0374948
4418725610403634944,229.06157433300638,-0.20288046717521468,0.3669785,0.30792078,0.1504097420396514,0.39974385,-1.9674425559014042,0.49987155,-12.949397033181542,0.4027439,19.648554,20.977448,18.602974,2.3744736,1.0113972
4418725644763374848,229.0316263175922,-0.19715279920989787,0.27347735,0.24720371,0.6421357396068864,0.33358228,-3.948962952707938,0.37746015,-1.1248539556652253,0.3267804,19.262554,20.085154,18.267668,1.8174858,0.95892215
4418725954001031040,229.0232296901584,-0.17003790868113441,0.48036942,0.42757598,0.5715442928411406,0.5316913,-3.563948682120202,0.68439645,-1.7798211488229634,0.57564217,20.058746,20.246063,19.601875,0.6441879,1.000936
4418726027016125056,229.05318507092784,-0.16753375565224154,0.08448524,0.07253768,0.027541380449216522,0.09568561,-2.92226414657332,0.1095135,-2.5748253615591667,0.08955586,17.339752,17.514114,17.016857,0.49725723,1.0516856
4418726400678281600,229.2020320606479,-0.2677472757001499,0.36821285,0.29507703,0.39211539041566523,0.41597527,-14.962842011208725,0.45067513,-3.9560901489227183,0.35701737,19.641598,20.332495,18.67993,1.652565,1.0280724
4418726611130756224,229.20284753831032,-0.24592356632500162,0.55128264,0.46686858,0.2130925550236143,0.6510466,9.280617359588407,0.6869139,-32.642883281518564,0.601424,20.237,21.411476,19.21088,2.2005959,0.96910626
4418727951161462656,229.2510595288046,-0.1891653710409344,0.03272324,0.030756256,1.1748845086339654,0.038323525,-11.091251468924092,0.041124355,0.5579459085998519,0.03754586,15.711722,16.208307,15.0594,1.1489077,1.004773
4418728084305474560,229.2066122999503,-0.17870716476777682,0.362136,0.28242874,0.2656816036141694,0.38796183,-1.9929363979476098,0.4316072,-8.55739358812999,0.34314162,19.707415,20.44958,18.826805,1.6227741,1.0166757
4418729836652135424,229.2632264519733,-0.14166085191365949,0.3938946,0.30193606,-0.0010234290629795098,0.41888142,-7.423720847754442,0.4585997,-5.470307666619818,0.36511564,19.801352,20.041525,19.37099,0.67053413,0.96474725
4418731004882571520,229.12197161591874,-0.1676027089621919,0.7403921,0.6610242,0.6948769009986442,0.74447715,-3.738642415581891,1.1159698,-4.24547472871587,0.94425434,20.473421,20.389122,20.151472,0.23764992,0.9818278
