source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe
4065672186250949504,271.93833066680867,-25.28020128083561,0.3309808,0.2886011,-0.6681333534663729,0.33973446,-1.164907927257847,0.45031163,-5.977300838091304,0.3221784,19.043072,20.539894,17.847425,2.6924686,1.236896
4065672186250951808,271.9412056819693,-25.281235085895762,0.47219092,0.42036733,-1.1699443427037923,0.46843553,-3.41810586704566,0.5786658,-7.278320724899537,0.39431205,19.597881,20.394207,17.967363,2.4268436,0.9988868
4065672190530142976,271.93964760636777,-25.277943160451592,0.09506497,0.08329369,0.17509680850959697,0.09923151,0.4608797151267067,0.12809238,-0.8941947125969315,0.09080861,17.444118,18.297375,16.464642,1.8327332,0.9765327
4065672220610697984,271.9544136513856,-25.2704628274127,0.36223486,0.3421837,1.0183480432369336,0.40045905,1.082771512661691,0.45457768,-1.4821690176992228,0.3221209,19.23422,20.502964,18.54787,1.9550934,1.0632098
4065672220610851712,271.9543075869765,-25.273837865210524,0.25841314,0.2285592,-0.5171220516149939,0.27363417,1.4680501365048528,0.38083956,-1.568342779175095,0.26844677,18.575552,20.105188,17.461153,2.6440353,1.2715205
4065672254970634880,271.97492807785335,-25.26900904588161,0.12531951,0.11515731,0.16995592879530164,0.14276779,-3.058029276009829,0.16654092,-3.7685328541132344,0.11839567,17.965742,18.838741,17.08184,1.7569008,0.98963726
4065672289292686080,271.98587066567967,-25.25625020101311,0.21325283,0.1926232,-0.0701199813811176,0.23777986,-3.5429305863711495,0.30100316,-5.061869028721873,0.22286195,18.384108,19.508821,17.030037,2.4787846,1.1249808
4065672289330367104,271.989148411823,-25.25922426064961,0.11532925,0.102022015,0.0900072031730576,0.12672621,-4.495471163473586,0.16088487,-17.29465430221502,0.11116425,17.655357,18.970354,16.318924,2.6514301,1.0655254
4065672289330402688,271.9873056886832,-25.259636988369646,0.30760807,0.2740254,-0.12272823843831626,0.33059743,-2.3634818476040467,0.44358054,-3.77931127355375,0.30132276,18.809017,19.614534,17.672092,1.9424419,1.2835668
4065672289330456192,271.98476820259253,-25.260972815205964,0.7198901,0.63859123,0.35809409870018505,0.7983759,-5.5953724321490785,0.9173047,-3.074234294813092,0.6118924,20.008472,20.770329,18.868017,1.9023113,1.0973179
4065672293671511680,271.99195528887145,-25.25708375849966,0.3598494,0.32576713,0.22577514100165263,0.4040745,-0.7269008406937666,0.5047663,-1.5196805887025029,0.32120508,19.40484,20.105265,18.02645,2.0788155,1.0398177
4065672293672111104,271.98532922256226,-25.260204511522048,0.13468117,0.12033741,0.11138228329941423,0.13494897,-1.085051834801042,0.17764783,-10.842621158217268,0.1259912,17.74975,19.232477,16.583725,2.6487522,1.049509
4065672323652401280,271.95854101650997,-25.263934580697914,0.054771587,0.048275508,1.099054546175042,0.060407434,-3.2502978470335067,0.07240833,-4.662232358331063,0.052927215,16.436544,17.128002,15.606568,1.5214338,0.9272262
