cluster,n_members,dist_kpc,feh,conc,r_h_arcmin,lit_rotation,age_gyr,trh_gyr,dyn_age,v_peak,sigma0,vsig_peak,vsig_peak_err,quality,rotation_detected,rotation_detection_p,counter_rotation,axis_incl_deg,axis_twist_deg,r_h_pc,log_n
NGC288,3492,8.9,-1.32,0.99,2.23,Non-rotator,10.62,3.09,3.437,1.9248695552877648,9.88018596038851,0.1948211868688426,0.062210507472405065,good,False,0.04273705395774964,False,,,5.773258277388576,3.543074235033532
NGC362,3499,8.6,-1.26,1.76,0.82,Not tested / unclear,10.37,1.023,10.137,1.2385834787502352,9.073112799359228,0.13651141632866154,0.05221878814715604,good,False,0.4368222245927792,False,,,2.0513436475106688,3.5439439424829065
NGC6397,16006,2.3,-2.02,2.5,2.9,Not tested / unclear,12.67,0.513,24.698,0.3039421243806196,4.256002095033688,0.07141493767949234,0.020158304840233225,good,False,0.5622423161234472,False,91.2850734488026,96.15100687550184,1.9402243518003626,4.20428281255794
NGC6341,3859,8.3,-2.31,1.68,1.02,Not tested / unclear,13.18,1.259,10.469,2.261558211674352,10.955022891172897,0.2064402999556141,0.04380436102360737,good,True,2.2686166502712655e-06,False,55.20793484786846,,2.4626595745639994,3.5864747785713966
NGC5024,2440,17.9,-2.1,1.72,1.31,Not tested / unclear,12.67,8.511,1.489,2.8729387782920073,28.190936595258727,0.10191001524848914,0.07150046819168807,contaminated,False,0.937198036716856,False,,,6.8210376050025046,3.387389826338729
NGC2419,262,82.6,-2.15,1.37,0.89,Not tested / unclear,12.3,42.658,0.288,13.770363188438694,0.0,,,unmeasurable,False,0.8828247688364153,False,,,21.384355771851855,2.4183012913197452
NGC1851,1268,12.1,-1.18,1.86,0.51,Not tested / unclear,9.98,1.0,9.98,1.244635231288292,7.043067213988888,0.17671778409500435,0.18635728818377506,error-dominated,False,0.5884638956936576,False,,,1.795071135676168,3.1031192535457137
NGC6266,7176,6.8,-1.18,1.71,0.92,Not tested / unclear,11.78,1.175,10.026,4.6417562715309275,8.610141868992011,0.5391033437262442,0.06485344876011132,contaminated,True,1.8250595214390234e-39,False,148.4708786222864,47.12216664867805,1.8197966334127542,3.8558824300360355
Terzan5,582,6.9,-0.23,1.62,0.72,Not tested / unclear,12.0,2.692,4.458,2.4929233006361144,20.008561080795843,0.12459283256649649,0.07148975698709795,contaminated,False,0.8181572013258888,False,,,1.4451326206513049,2.7649229846498886
NGC6440,2065,8.5,-0.36,1.62,0.48,Not tested / unclear,13.0,1.023,12.708,3.19705010836003,16.6633927064545,0.19186069515853546,0.07558107860941458,contaminated,False,0.08442242997804537,False,,,1.1868238913561442,3.31492005599242
NGC5286,1878,11.7,-1.69,1.41,0.73,Not tested / unclear,12.54,1.413,8.875,2.1711875500629256,4.63259241418398,0.46867657586608014,0.5260866753717729,contaminated,False,0.15267405278177362,False,,,2.4844761902139276,3.273695587930092
NGC6121,15815,2.2,-1.16,1.65,4.33,Not tested / unclear,12.54,0.871,14.397,0.6976183149800095,5.308229461621495,0.13142203441350656,0.030951700823033747,good,True,0.005668108515700897,False,104.72908392034716,,2.7710010757496644,4.199069196251742
Pal5,243,23.2,-1.41,0.52,2.73,Not tested / unclear,9.8,7.943,1.234,4.796353523368635,0.0,,,unmeasurable,False,0.8273099769089278,False,,,18.42369558405214,2.385606273598312
NGC6544,6640,3.0,-1.4,1.63,1.21,Not tested / unclear,10.37,0.245,42.327,1.0199784440607724,7.280330813299264,0.1401005627652988,0.039568012403757624,good,False,0.31722340693918877,False,,,1.0559241974565694,3.8221680793680175
