source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe
4415195903200591360,229.25640791623002,-1.4902623534744104,-3.438148576496795,-1.2972132849969484,0.2705921,0.25776047,-0.0019908322838801153,0.24378218,18.993345,1.2287903,0.997526
4415203187465147648,229.14115766834055,-1.4422433086421342,-0.8172482426462316,-2.118386932729649,0.20891564,0.20886734,0.35417259492968706,0.17726889,18.542852,1.2116661,1.0084502
4415587707297340544,229.41568178688635,-1.2473537497164269,-2.799500591375762,-2.720387444348603,0.10112302,0.10113215,0.12387397789680303,0.09464734,17.465513,0.8583298,1.0020974
4415607262283852032,229.975793180862,-1.024470800429851,-1.346973038272389,-4.4160615180184974,0.8130976,0.6837035,-0.9958946858146034,0.6542445,20.306828,1.6709747,1.0435553
4415613889417434496,230.04857071391945,-0.948800657370906,-2.5397643653449533,-3.7481007351134688,0.94367665,0.94559693,-0.21660685649577588,0.87625414,20.49377,0.632452,0.97966033
4415623235266971904,229.73680544183344,-0.9210976601657326,-4.619885626669422,-3.8941423903073593,0.2552169,0.22079952,0.03988444774395735,0.22243045,18.840288,1.1747227,1.0748713
4415623578864351104,229.80839533368436,-0.9372365337866382,-2.5459212820222294,-3.102101766962894,0.13805649,0.129898,0.5772061342550562,0.12262805,17.807373,1.0907993,0.90609115
4415631692057818240,229.9385772399435,-0.7930440366659485,-2.854424336980416,-3.240896764546665,0.0727276,0.06510943,0.271268415722013,0.06875583,16.723742,0.86719894,1.0430957
4415633753642120704,230.01351729022508,-0.7410889609854945,-3.1151106496272707,-3.48883283972824,0.3650183,0.29640806,-0.25637420972931513,0.3099716,19.398455,0.89520454,1.0434662
4415740195815709056,230.1532985441822,-0.48644053283782135,-2.2063215815952972,-3.5062428668232664,0.28008935,0.2284077,-0.033832220079478316,0.20674835,18.61983,1.1557503,1.1458254
4418188842570891008,228.62764554491588,-1.4147048258833348,-1.3788598103307073,-3.0866272750007915,0.5308837,0.41311458,-0.060564663634810834,0.47305375,19.792433,1.6089153,1.0180457
4418199223507202816,228.5451825710634,-1.4175321154530631,-2.969740721212719,-2.3770722585918276,0.04770727,0.04061196,0.11861399121251533,0.043936227,15.597658,1.2847586,0.92565566
4418210832802923392,228.88743415258378,-1.3375394401411638,-2.0607514771071163,-1.2957317870957383,0.18105896,0.13234651,0.006657493957044266,0.12988348,18.118288,1.1623135,0.9769855
4418221930998441600,228.89895549617898,-1.1829659883284553,-4.4906829031992235,-1.0897148421855218,0.6002663,0.51774347,0.26866877166468894,0.43587974,19.697264,1.2193737,0.99259603
4418254332232387584,228.4811223727388,-1.173059602330841,-4.452101381272653,-1.428144433733727,0.580825,0.5613945,0.24020600840550765,0.68885297,20.054785,0.6966553,1.0073665
4418283714103898880,228.44693649776613,-1.0190648135928313,-0.8581174822085069,-0.797662969559432,0.34825027,0.31973964,0.44389783397652477,0.42535862,19.38104,1.1423283,0.90298975
4418285049837892864,228.53618819676652,-0.9681574351273389,-2.948594222725866,-2.9135364192760402,0.64851123,0.54523575,-0.8644789803483085,0.6649669,20.211954,0.85500336,1.026347
4418293433614101248,228.68923056871932,-0.8264545683608712,-2.2688469001492253,-3.0916983644276943,0.5359398,0.40762636,-0.054877199987231035,0.4345022,19.631453,0.903883,1.0165428
4418295907515917440,228.40123951410217,-0.9579076285659394,-4.67340077933344,-3.356804522958343,0.59900075,0.5251013,-0.3074765133298129,0.6427728,19.945087,0.75393105,1.0215689
4418298965532654976,228.42454104869833,-0.8797370592907977,-1.854085566806684,-4.347408074401715,0.26851544,0.22911713,-0.14688126045703642,0.24472411,18.818216,0.75585556,1.0858755
4418309342172997120,228.46267523884558,-0.7254195374090333,-3.5440632401246397,-2.1572378102179486,0.55843073,0.43704367,0.05446793140866427,0.4596341,19.87738,0.73477554,1.0231439
4418520658859867776,228.06094233153644,-0.45950349378813504,-1.1496230523104132,-1.719975686010685,0.072136074,0.056403097,0.2171646811021813,0.06069755,16.55075,0.87381935,1.0770378
4418583399742204544,227.64331112864335,-0.2648371436067185,-0.7185980575365389,-0.8175549810021062,0.41617295,0.31509113,0.1210488899983255,0.31300575,19.161144,1.0277424,1.0985522
4418599029127761280,229.14308732319674,-1.0629316872206456,-2.599351760475066,-4.302539948410566,0.36748648,0.30195946,-0.3220184836870329,0.2937519,19.273947,1.4291801,1.0537586
4418604427901933312,229.32105880572533,-0.9743719950293667,-3.809141296185759,-1.1888288123886557,0.046008408,0.038994443,0.479395097115545,0.042715203,15.851168,0.8832693,1.0378575
4418629746734363008,229.54774854519667,-0.8443673039027532,-4.140674642297837,-1.1604346892079747,0.5142463,0.38616663,0.4484526858812559,0.3822145,19.745346,1.57448,0.9359571
4418634522737679744,229.535003742796,-0.749961588465969,-1.7109577727758718,-2.919239302806584,0.279412,0.2151146,0.3078915934033663,0.22351298,19.07288,0.86299896,1.0013099
4418644555780354944,229.62372202397881,-0.557457370678672,-4.197827024807118,-1.356985614896026,0.63115025,0.52966076,0.0018461617491043365,0.61474043,20.064047,1.3214817,1.0354959
4418650740536347520,229.4260764708673,-0.5860081716378258,-3.4583110538975315,-4.594976109203691,0.55497104,0.4477144,0.24038153390127684,0.53651106,20.073046,0.7120247,0.9259831
4418653596687659648,229.41203593397358,-0.5793172883620763,-4.283896396511729,-2.998772301739016,0.06403239,0.052436184,0.4649264179180326,0.05628093,16.386341,0.9965496,0.9605582
4418667233207938432,228.93728957569886,-0.765756392633579,-1.475386868459311,-1.8724177431262181,0.18672374,0.1791543,-0.05233783270359581,0.18200849,18.283594,1.0392399,1.0205963
4418673972012446080,229.07390922071042,-0.683244792393982,-2.4766846135036316,-4.080428213289607,0.08584908,0.078130305,-0.017408818415904612,0.08821984,17.004091,1.0006676,1.0412743
4418677747287914880,228.95631389284156,-0.6573767755009635,-4.590892373271151,-3.880090714674956,0.10315288,0.09142409,0.22102143875929742,0.0986442,17.320978,0.75230026,1.0517522
4418678331403482880,229.0061993998482,-0.6216186190207937,-3.471357482070512,-4.416860586195082,0.5470037,0.5082121,0.4432707837079293,0.5082309,19.911077,2.016964,1.09409
4418686852618589568,228.59216668420356,-0.6415957300457764,-2.166489170337524,-4.21331821314198,0.31837356,0.26157257,0.3205460195736469,0.25685474,19.092716,1.39114,1.0284348
4418686990057558144,228.61363135633542,-0.6085025759774629,-0.8058658704673931,-0.8791725531041977,0.197417,0.172472,0.012040260069425322,0.16637349,18.496246,1.12504,1.0071576
4418698397490799232,228.90900104739526,-0.37317129310643415,-2.016460567566136,-2.4214887591659524,0.532624,0.5219353,-0.4898538947740682,0.45968506,20.00647,0.9580765,1.0218635
4418710354680448256,229.42820914313748,-0.3435936024729192,-2.537054987037549,-1.2121261426678416,0.29450375,0.24846624,0.06880764514150099,0.27063453,19.316198,0.7594681,0.9520127
4418720800040238592,229.1186745480759,-0.2956354878094609,-3.2422872362114505,-2.627588713914353,0.674499,0.5812927,-0.0760549760930868,0.5819544,20.153643,0.6875744,0.8275774
4418721659033714432,229.12076056441788,-0.2362866185551193,-3.353747078115831,-3.6637577911503163,0.24524407,0.21031134,0.427978817266444,0.22020608,18.859688,0.8131676,1.0099316
4418722174429768064,228.97495621966712,-0.3160991231197056,-1.300500432780498,-2.4083739894127336,0.2756146,0.25433013,-0.07188377660169416,0.26369455,19.11577,0.6845169,1.0157385
4418723617538797696,228.9720273687995,-0.2548502738234482,-1.498388490714968,-2.4167812173637055,0.7405421,0.66812456,0.5276150196136208,0.5480906,20.006582,0.81737137,1.0329654
4418724476536379008,229.09328209249796,-0.2508568516562121,-1.8574435319838818,-2.7905543057021958,0.57962006,0.54731643,0.25345047532925813,0.5602886,20.057592,0.7346916,0.96480525
4418725850921807360,229.0196178769409,-0.19027566732598322,-3.0699132580836306,-3.0176127071532153,0.31299645,0.25704288,0.24233066620648616,0.2532776,18.943527,0.99199486,1.0120485
4418726469397760896,229.18769409706832,-0.257179937355529,-2.0277786746755484,-1.0137359743390735,0.17529179,0.14912514,0.5826764760496101,0.16065417,18.375824,0.9247589,0.9768825
4418730867443614336,229.09747307281702,-0.1796578290325582,-2.857222325505531,-2.5626765666094458,0.746331,0.7112571,-0.23029464537803776,0.6426023,19.95451,1.0648785,1.0830503
4418734165978521728,229.14462493836115,-0.0736189919134744,-2.821311153425574,-2.7000352498963367,0.11702819,0.08883481,0.11096094469986831,0.09262724,17.396036,0.3526001,1.0461283
4418739152436157312,229.9817354224357,-0.40506017814878764,-2.693537667494007,-2.6139608490992927,0.04111576,0.03920958,0.05159418401491741,0.03837599,15.542848,1.4548435,1.0229528
4418742549754225408,229.95725161470372,-0.3499888142902425,-2.6261911249650685,-1.4981923855994717,0.797906,0.78680646,-0.04510793839303241,0.6595178,20.16513,0.6577511,0.9512862
