source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe
4418306490314700288,228.58628421302632,-0.7727918036957375,-2.503047498279633,-2.73550248870891,0.11629075,0.09781561,0.10120458997980429,0.098633125,17.535568,1.1309681,1.0838624
4418456440508728704,227.96605601147544,-1.0270121107641588,-1.4906984643205226,-3.417426217804192,0.421625,0.43891108,-0.24808930412760777,0.39396882,19.53721,0.88342667,0.9973684
4418462934499324800,228.04367506788762,-0.9791690620597312,-3.1226840032594776,-2.7957358557133367,0.4830402,0.46611664,0.7716188566843166,0.41375685,19.671482,0.66383934,0.9563456
4418467538704229632,227.91138098745364,-0.895070555807638,-3.2978956226825478,-1.8862193058001857,0.02741333,0.027647518,0.792886123349521,0.02435651,14.719536,0.8712702,1.0392737
4418470424922326144,227.9364163916222,-0.8027098519360808,-4.362753254078242,-0.9615979527050185,0.2079198,0.19496626,0.4025789949294409,0.1917916,18.603397,0.93992233,1.0506
4418489421562448256,228.2336019544282,-0.8143474752126441,-4.5944027463768204,-1.6579851910856518,0.24256678,0.22089353,0.10126482904799262,0.27103284,19.050737,0.81360435,0.95641947
4418490765887424512,228.15674849594836,-0.7701855984682143,-2.9174953035405835,-2.196440920853933,0.07092797,0.063744105,0.2440045338025827,0.074980736,16.994488,0.7868862,0.9547686
4418509354505916800,228.09305845096068,-0.5827636874341504,-2.86223361785799,-0.697483810732656,0.09543566,0.073417,0.5149214893154183,0.07583479,15.413413,0.9102745,2.5440695
4418513851336583936,228.01893169445174,-0.5095334423086171,-3.4985935385457942,-3.142887374102668,0.90147316,0.8194227,-0.43659772553341325,0.7914651,20.418999,0.808342,0.9528608
4418521174255950080,228.07562122921294,-0.4239728101493764,-3.302711162265016,-2.7970633031918943,0.39207995,0.34841806,0.9530658122537282,0.3805264,19.244083,2.2724228,1.2001827
4418560069478904192,227.86110149015073,-0.495871435031015,-0.8370045107225771,-1.125258474817801,0.805528,0.67594135,1.4137987148651108,0.74546564,20.322132,1.5443249,0.9942884
4418568040939210752,228.0065274042119,-0.4013932104917126,-2.9970826457043707,-4.028491178730846,1.229074,0.97779214,-2.0008855704632724,1.0913789,20.494446,0.74518585,1.0760795
4418570716703219072,228.1576244716005,-0.2981091188478587,-4.552542545613763,-2.507703167805751,0.45259544,0.33917737,1.8041542271061006,0.39463577,19.397657,2.3736668,1.0625362
4418572262892117632,227.88636599624874,-0.3491327693093855,-2.7550527141639884,-4.316593915777479,0.766368,0.6745171,1.081992481073161,0.7268901,20.098902,2.5987225,0.97429544
4418574328771256192,227.88617044204548,-0.24057632691748088,-3.205950935193807,-2.081667896420054,0.20523813,0.1790965,0.4133424251512868,0.23614837,18.561974,0.96632004,0.9411359
4418578825601009536,227.73385231493899,-0.3518840407428317,-2.140018386458661,-4.03549428064532,0.57432485,0.51563376,2.8431232644597286,0.58574235,19.885561,2.539425,1.1295265
4418584224375932672,227.6724639935369,-0.19845877103230739,-2.524168368869339,-1.2105488432585279,0.61430043,0.45122036,0.5803871672882392,0.48661283,19.899132,1.3535938,0.96801543
4418588038306875392,227.90937433502688,-0.16587807398311002,-3.2955133472822458,-3.6862786037833715,0.30783165,0.2516825,-0.6013368556520541,0.3404282,19.048944,0.80670357,0.97798765
4418599441444626432,229.1623240955927,-1.0488578390517571,-3.339386637618861,-2.8141861158383525,0.7010601,0.60138494,0.15263693551476268,0.52615523,19.841648,1.9146652,1.0610161
4418609646287017984,229.38122733589364,-0.8701755375198997,-1.3407551049349271,-0.7169318135649398,0.30714858,0.2451166,0.04919712723670082,0.25614128,19.085264,1.1379547,0.98602736
4418612188907587712,229.03875222999707,-0.9926552527817862,-2.8094765298457585,-3.8609713674011292,0.123327196,0.12292229,0.21438644131195422,0.10517439,17.627522,0.90026855,0.98826814
4418627582070568832,229.22396124652388,-0.6951414438190501,-1.4407116716677781,-1.8227303318593786,0.6782017,0.6556473,-0.4850862143573918,0.6159535,20.14841,0.85741425,0.9459261
4418633290082276736,229.64482649650742,-0.7264291488592436,-2.639420231598918,-0.749365049844695,0.2910172,0.20922454,0.4479278709374988,0.18859886,18.651453,1.3072205,0.99008167
4418647854316547456,229.40620666196034,-0.6754624021512453,-3.9889553700930316,-0.8741890579236619,0.30824292,0.2582237,1.1810380229815687,0.31763473,18.25393,1.7285156,1.4968317
4418653248795205120,229.32856569456862,-0.5553789398005712,-1.8129129231051846,-1.763678630007251,0.48176223,0.3894149,-0.8009355082774644,0.45503673,19.79812,0.8584175,1.0001702
4418671184577862272,228.87999870496964,-0.7268883439674568,-3.6885171009369975,-3.6296897587771166,0.59638214,0.59312844,-0.1188095478748826,0.63032913,20.00262,0.74661064,1.0376668
4418679087317743616,228.93595467866203,-0.5880873256480127,-2.578619215736193,-2.2419813352142124,0.73654526,0.746365,-0.6854868203030159,0.6452389,20.216715,0.9385929,1.0423269
4418679121677718144,228.89392098071434,-0.6064791325267804,-1.5675821758558497,-1.701308009563543,0.9070917,0.827061,-0.5772916152302102,0.8870134,20.21562,1.6370506,1.083987
4418682901248662144,228.74473702233212,-0.6771008626529763,-1.1737829769898478,-0.7983201021081436,0.39264038,0.3609795,0.12525168901945416,0.3468821,19.527245,0.33247375,0.93349904
4418686234143340416,228.80000614936625,-0.5574812494214868,-3.559313582570308,-1.1987458635001633,0.51312226,0.527049,0.6081536928847671,0.4424456,19.590494,1.5605946,1.1688488
4418692934292572800,228.83232969738097,-0.481713209116672,-2.3877726857384074,-1.3624171570387313,1.558386,2.113066,0.17033530051009033,1.2274402,20.437422,1.5593128,2.244404
4418696404625960448,228.82404285735524,-0.4148484764311601,-2.289020433402965,-1.597285447140225,0.41278625,0.4317253,-0.13440181802374043,0.4197394,19.63973,1.0509682,1.017277
4418697057460981888,228.770287267081,-0.4334178878144874,-2.067306807242873,-1.9612169909601438,1.335138,1.4712367,-0.37625852226079054,0.89585346,20.489178,0.3486824,1.0457273
4418705441237138560,229.10290169135277,-0.44387404478852344,-2.3900105648884358,-3.193563215511901,0.8176672,0.8705163,0.06883981037003492,0.7664259,20.232038,0.37194443,0.9536536
4418714890165929984,229.30269999384973,-0.2616656856232943,-1.4133575348513405,-2.4105556609150414,0.46372268,0.35332775,-0.33058547419680934,0.40608034,19.763922,0.9104004,1.0002247
