source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe
1355562528399462784,257.87718209975037,44.631007184756804,-5.821319889150441,-1.2669487589466697,0.2949534,0.29504624,0.517420577843881,0.25686303,19.541609,0.9754467,0.9675649
1355563902789003648,257.9607897421523,44.643792247001855,-3.053418832777609,-0.9287318327494329,0.057441622,0.066079624,0.1052669642225866,0.050561957,17.010399,0.34713173,0.9401579
1355564658703275264,258.03039337990515,44.708907815166604,-6.659236627045167,-0.3518257910815416,0.47046146,0.5577788,-0.09461303487621944,0.3842909,20.092329,1.2417088,0.9894375
1358539731008607232,256.84191821535074,44.296140315352496,-4.142510934129813,-0.07286220325113532,0.35866985,0.45598477,0.6647376316989617,0.3236503,19.94109,1.8991375,1.033519
1361007859736229888,261.0817372188958,44.820086444506025,-4.252873384343067,-0.03653079719373829,0.45086563,0.46306473,0.5285458371888188,0.34942672,19.73801,1.0447044,0.9210594
1361353660438373632,259.477558163524,44.97641884082871,-4.966302083577066,-0.31428127670544304,0.010724166,0.013296393,0.09516933156865709,0.0097814035,13.1094475,1.267087,1.0572977
1361383519050915584,260.14704290498184,44.781697742758816,-4.6526169839658715,0.006077648887872518,0.059630804,0.0656911,0.23870940112176775,0.051715508,17.116312,0.85835457,1.0189258
1361385851217487488,259.9983498782755,44.81594317385839,-3.5482849459268575,-1.0317193090461008,0.22738579,0.272554,0.3044026723182204,0.20670451,19.400537,0.8758793,0.9902823
1361411311783796992,260.3205320723803,44.95784761824339,-3.6959588415438676,0.010620091914007798,0.52092063,0.47456312,-0.002491224126811638,0.39610884,20.045881,1.6590824,1.0660992
1361443339355610880,259.6162447993796,44.90674048659797,-6.845505101850704,-2.5555620563095363,0.03235262,0.043678213,0.743804431942858,0.030244824,15.961732,1.0612621,1.0370898
1361450928562239488,259.93806909185906,45.06258412765219,-4.738473258549255,-2.5672663010781944,0.1876301,0.20706469,0.1696056918195615,0.15975384,18.936668,0.6511612,0.9821743
1361455120450368768,259.9153199578475,45.152355245372355,-3.4607355088103495,-1.3892438334893846,0.40363693,0.4726291,-0.26869178709527486,0.37118825,20.082699,1.1430092,0.9780031
1361540989731612672,259.3383092021446,44.949749081592095,-3.5362494958563246,0.5628127459251787,0.049302276,0.06366758,0.44466374429885996,0.048182636,16.794046,0.8522949,0.9823335
