source_id,ra,dec,radial_velocity,radial_velocity_error
4418924729383063424,229.01826006006198,-0.0061962332697531345,-8.920967,3.540532
4418724858785016704,229.067757133872,-0.2120752762504872,-60.198177,4.8188443
4418731696372955008,229.07157393111402,-0.16934269020503648,-13.486214,0.12966791
4418924076548032768,228.9591264857898,-0.05676751349263933,-23.601969,0.19127515
4418924347130242816,228.9360931918022,-0.03881053641397161,-2.2716432,4.9816217
4418919987739157376,229.00454023226732,-0.10734938226840367,-89.8766,2.3958693
4418920984171575168,229.02242679336044,-0.06623987279924218,229.94633,2.4235322
4418913145855163648,228.9558727316705,-0.18944945921141199,19.459799,0.96042305
4418730906098970112,229.11695724571314,-0.17705697186612138,-72.65074,3.484132
4418913459388860416,228.96159391329235,-0.1766992632657618,43.56718,3.9751806
4418732692805370624,229.1263899054533,-0.07947428353144592,-26.865005,4.1679316
4418924695023325440,229.00535172224508,-0.011002923564525114,27.358921,3.1950023
4418924317066203648,228.9374516281053,-0.048973953324828165,-1.8405255,10.087885
4418725339821356672,228.98922818451365,-0.22166581718138884,-11.641621,6.793872
4418918093657487232,228.9055907616763,-0.08453787629661848,-40.125404,1.6483765
4418924798102541056,229.01286668798258,-0.0038906914844013063,-55.39728,6.521575
