source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
4418720696961019008,229.07509314323437,-0.3138864735790353,0.1656384,0.14784078,0.5217907933657571,0.18548392,-7.974524285891411,0.21957846,-3.791332635869572,0.19908403,18.665329,18.99713,18.159067,0.8380623,0.99780494,0.0,window,12.54980245754606,0.024753799956097534,0.9811251713301905,0.0,False,,
4418721388451469440,229.1345052937815,-0.26050777987416573,0.46282113,0.44313613,-0.18579443637243961,0.5344661,-17.899640500253945,0.59492195,5.766961685113442,0.56856626,19.984798,21.435253,18.928404,2.5068493,0.8982282,0.0,window,11.201444172911343,0.0574628541216836,7.146570784142025e-27,0.0,False,,
4418722036990999424,228.9494325724715,-0.3382417230876284,0.5174086,0.4809743,0.9429792330496906,0.61908734,-7.699398729027253,0.6656228,1.7807484185071918,0.6620536,20.150814,21.231571,18.999893,2.231678,1.0047432,0.0,window,14.276719636638589,0.01,1.0434514175710412e-14,0.0,False,,
4418723892416710656,228.95530504456931,-0.22553796596235373,0.6012107,0.57354134,0.3057815807065681,0.7245573,-13.331974187243294,0.83020854,1.7121498472354277,0.7079992,20.204838,21.001783,19.312397,1.6893864,0.9741414,0.0,window,7.918347862010653,0.24663812551502512,4.178191298849991e-06,0.0,False,,
4418724201654528768,229.0178780703039,-0.2689383531934466,0.2517509,0.2209911,0.7657405134456818,0.28450385,-8.214686271259788,0.3009805,-6.628667358125161,0.2887404,19.062553,19.689827,18.310966,1.3788605,1.1061301,0.0,window,9.443384969059125,0.1353384508030502,0.06127697570675821,0.0,False,,
4418724373453247872,229.04674529481323,-0.2404816792240436,0.46743363,0.53199625,0.16385970919686188,0.6143035,-2.2735395655025274,0.66178375,-2.480098170596567,0.72013617,20.101768,20.459875,19.649755,0.8101196,0.95736486,0.7701514594801296,window,7.875276811604138,0.25044137715652826,0.8929541180812233,0.7677839475352536,True,,
4418725335525900288,228.98958250276854,-0.229088081140726,0.85055727,0.7452583,1.008184197974078,0.87515277,3.8193071213130496,1.4431562,-2.05828569732849,1.3670143,20.462774,21.3052,19.321754,1.9834461,1.0374948,0.0,window,7.311109160047707,0.30354665447333706,2.638468169324056e-07,0.0,False,,
4418725610403634944,229.06157433300638,-0.20288046717521468,0.3669785,0.30792078,0.1504097420396514,0.39974385,-1.9674425559014042,0.49987155,-12.949397033181542,0.4027439,19.648554,20.977448,18.602974,2.3744736,1.0113972,0.0,window,5.971784783103535,0.4507020305588218,3.423416977679991e-16,0.0,False,,
4418725644763374848,229.0316263175922,-0.19715279920989787,0.27347735,0.24720371,0.6421357396068864,0.33358228,-3.948962952707938,0.37746015,-1.1248539556652253,0.3267804,19.262554,20.085154,18.267668,1.8174858,0.95892215,0.0,window,5.166234262161972,0.5476546118589385,4.448496926565537e-05,0.0,False,,
4418725954001031040,229.0232296901584,-0.17003790868113441,0.48036942,0.42757598,0.5715442928411406,0.5316913,-3.563948682120202,0.68439645,-1.7798211488229634,0.57564217,20.058746,20.246063,19.601875,0.6441879,1.000936,0.15783734158424742,window,3.50718206896117,0.7370000197564032,0.8725096724049756,0.2746447940668798,False,,
4418726027016125056,229.05318507092784,-0.16753375565224154,0.08448524,0.07253768,0.027541380449216522,0.09568561,-2.92226414657332,0.1095135,-2.5748253615591667,0.08955586,17.339752,17.514114,17.016857,0.49725723,1.0516856,0.362649915299702,window,3.8453105330764688,0.7015917528705613,0.7862907035555614,0.5037614879834843,True,,
4418726400678281600,229.2020320606479,-0.2677472757001499,0.36821285,0.29507703,0.39211539041566523,0.41597527,-14.962842011208725,0.45067513,-3.9560901489227183,0.35701737,19.641598,20.332495,18.67993,1.652565,1.0280724,0.0,window,14.303351648055518,0.01,2.1226852858306295e-05,0.0,False,,
4418726611130756224,229.20284753831032,-0.24592356632500162,0.55128264,0.46686858,0.2130925550236143,0.6510466,9.280617359588407,0.6869139,-32.642883281518564,0.601424,20.237,21.411476,19.21088,2.2005959,0.96910626,0.0,window,13.521277614882104,0.011209558975761168,1.5542433892896155e-12,0.0,False,,
4418728084305474560,229.2066122999503,-0.17870716476777682,0.362136,0.28242874,0.2656816036141694,0.38796183,-1.9929363979476098,0.4316072,-8.55739358812999,0.34314162,19.707415,20.44958,18.826805,1.6227741,1.0166757,0.0,window,11.791469507566237,0.040810496159905195,1.850098122608233e-05,0.0,False,,
