source_id,ra,dec,radial_velocity,radial_velocity_error
5921366510715463296,265.1487280288284,-53.92647758353609,-64.603424,1.1111923
5921366721184978304,265.2338896541897,-53.905884560453984,-5.85196,7.296101
5921382629743614464,264.90178880939584,-53.820357511456116,-5.069988,5.296859
5921694543137608960,265.38093950575467,-53.90325492199691,-17.857372,8.909325
5921703511029304832,265.40608470683526,-53.68448297637404,-43.561203,0.30655372
5921730277266449280,265.5314843619872,-53.521588746777546,26.807077,5.67963
5921741654653871360,265.36754070700255,-53.870799288503335,1.6828086,3.868277
5921742651086328576,265.2191489000881,-53.83994575148005,34.447437,2.6187336
5921743613159012736,265.27148579778725,-53.784664557556,-10.322079,3.6124012
5921743991116132864,265.310100925401,-53.76246090212436,-57.599384,3.3544977
5921744536556925824,265.20437654312747,-53.76724281871268,21.161983,1.7114885
5921744983239670400,265.24609944611575,-53.7171846650482,30.438255,4.723859
5921745292477492224,265.1856665264515,-53.680002296664455,12.000471,1.4077263
5921745571643920384,265.10515633905106,-53.79986274440694,23.090937,1.4568862
5921745846542150656,265.04778985317927,-53.77948266794221,8.931348,17.851288
5921745910946461952,265.13948485014646,-53.78421912622144,-4.6059976,2.3776972
5921746052700516864,265.138612286278,-53.77030100771866,15.347302,6.901268
5921747560213899520,265.14080038176576,-53.739054025933825,12.940082,0.43348792
5921748625365784704,265.03033911123504,-53.70905800845094,27.354021,0.5757465
5921748664040853120,265.0448948914197,-53.69935024547559,18.568235,16.92878
5921748728445435136,265.0192700323287,-53.68181435140307,9.925466,6.6739154
5921748900244131584,264.98668086880394,-53.680240951430946,58.02338,6.1798415
5921750790029890432,265.2937292611621,-53.62841341736667,-53.32261,1.3516328
5921751000503951872,265.2700917339487,-53.67286943306964,6.44578,11.468
5921751069223435648,265.2294553891172,-53.658052027424084,24.47874,7.528552
5921751103583267328,265.21894871899076,-53.68480133720713,18.892473,1.0657319
5921751477224059776,265.24543931522345,-53.62858050060022,-67.995705,0.35204643
5921753165167178624,265.2661077158329,-53.57734415284064,12.692696,6.501043
5921755226750950528,265.05633434961294,-53.60947446050901,-48.96155,7.4096956
5921755840910823296,265.0146278738447,-53.539082673417205,-19.479124,0.38147104
5921759143761138688,264.8900382578503,-53.6904082906901,-63.27013,0.5090183
5921762442296770304,264.8016415179207,-53.55456490565358,-34.528984,4.6034746
5921767905495090176,264.9309745351637,-53.49741514180092,18.336754,5.8400636
5921777212669093632,265.2937693252953,-53.5119030805825,-46.801674,7.0103827
5921777869821981952,265.2561471857548,-53.43363960035204,-82.03152,1.4241047
