source_id,ra,dec,radial_velocity,radial_velocity_error
6440141905160105216,288.04485893273704,-60.59856000117875,-2.872006,7.9601755
6440147093480603008,288.0168134543639,-60.48297767675019,-94.833496,0.6347705
6446081879289673984,288.25731834686604,-60.80639881728013,32.685814,5.220858
6446090778462271872,288.7900702515673,-60.59396074060632,-29.487377,2.4290137
6446137267188356608,288.5414221386532,-60.48051380207741,-19.95042,1.4467204
6446138401059647232,288.86417774683105,-60.51653024402661,-20.609388,3.8769135
6446149533615111936,288.45263399919395,-60.425139908435696,-63.77018,6.756375
6446150289529222144,288.4548057927082,-60.40608767982848,-16.27018,7.032596
6446156439922375296,288.6013265588134,-60.344284320592266,-54.967453,4.7815266
6446163243150667392,288.69253346054063,-60.15408119267395,59.975544,1.2834417
6446168122233263232,289.4132228568401,-60.21554543328369,159.2409,2.2702646
6446183270580919936,289.1369389048758,-60.12176835742493,1.0461484,4.7835393
6446183962072699264,289.31498683311344,-60.10732764509424,-6.5979357,3.0645487
6446187707284259328,289.0260971424935,-60.03376110329906,58.40225,2.4797096
6446194854109955584,289.384345190988,-59.93594408070308,20.876953,4.040914
6632291973118465536,287.3943068475371,-60.655961723783285,17.84507,1.1527393
6632317983440508160,287.6703072924918,-60.319320322657184,35.953537,5.652682
6632318803772618752,287.7665697780623,-60.24196258809989,-21.520445,0.646933
6632319697125815680,287.81752415140534,-60.21123600722704,-25.093813,0.30375046
6632332861207768192,286.272243478856,-60.490349876392806,-2.1522784,2.3989103
6632336125382866560,286.7554377991179,-60.456054627990824,36.540245,12.06532
6632353786288500480,286.7345726828562,-60.247016828202774,3.8526134,4.823581
6632354954519608320,286.68133774828624,-60.202872188517105,-60.930576,3.048434
6632356840004324352,286.32901149228513,-60.221214195698565,-84.789185,2.7268739
6632359043328493824,286.5539563258423,-60.118364846607115,23.54244,6.2607465
6632360898754604672,286.87193290889275,-60.35937039249533,-60.005363,1.2120645
6632371683413186176,287.7558997028231,-60.03463989647144,-17.406216,0.91291136
6632371722065690752,287.7026272302885,-60.03207728695222,-22.565826,2.1793091
