source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
6440125206328960768,288.0811740021962,-60.772814727264326,0.1086648326909591,0.12469462,0.2259619760462333,0.11178403,-3.7743713630855726,0.0967359,18.094269,18.384829,17.662102,0.7227268,0.9567044,0.0,gmm2,48.53887951445921,0.01,0.4610769620960971,0.0,False,,
6440125373830090624,288.1581027059499,-60.75173824796629,0.6974680022157482,0.24782464,-0.2744032684225441,0.20472099,-9.418912895756366,0.1703478,18.963276,19.35313,18.495604,0.8575268,1.0330787,0.0,gmm2,47.89365276235886,0.01,0.7677127362717199,0.0,False,,
6440125378125743616,288.16033426734435,-60.7499175025675,0.2380675640083245,0.04118225,1.1825353784720831,0.0333474,-2.459523402034152,0.03371476,15.959551,16.29406,15.459067,0.8349924,1.0264536,0.0,gmm2,47.807266942956986,0.01,0.0019900696535334,0.0,False,4200.488227640423,726.6237928435141
6440125648707844608,287.79720367479223,-60.86079679058042,0.3755594029202787,0.30790505,-9.415617057952714,0.26895237,0.4592915143479346,0.24649172,19.298294,20.308035,18.349997,1.9580383,1.0245275,0.0,gmm2,52.626754161675855,0.01,1.1399621650458355e-32,0.0,False,,
6440125717427337728,287.8063862789665,-60.85222280454277,0.6066216131607104,0.3751518,-3.776815139592084,0.3860594,-22.176545590964096,0.33656642,19.69195,20.382473,18.922674,1.4597988,1.0099604,0.0,gmm2,52.12629958595533,0.01,0.0005203222565956,0.0,False,,
6440125786146808448,287.7553184314669,-60.85598302168301,0.3283583943331781,0.15442379,-4.740952246152164,0.1340535,-5.964697922324842,0.12270949,18.27838,18.625862,17.758415,0.8674469,0.99249357,0.0,gmm2,52.2955633065497,0.01,0.3557771936452859,0.0,False,,
6440125820506550912,287.71179352095294,-60.8544859741058,0.1154630209653645,0.12394394,1.995853217940203,0.107564345,-9.151682357859984,0.10660904,17.830482,18.205885,17.327631,0.87825394,0.96975607,0.0,gmm2,52.19340145127008,0.01,0.0035686238025757,0.0,False,,
6440125923585782400,287.7904267234032,-60.84310984794115,0.173792888053681,0.52933055,-6.398897101415143,0.4713148,-8.457137695497044,0.43037212,20.035557,20.85803,19.255266,1.6027641,0.99404055,0.0,gmm2,51.55758534205338,0.01,0.0009306190382259,0.0,False,,
6440126232823464576,287.88752784401885,-60.8173734055766,0.4672158772974339,0.16687149,-10.068568366039768,0.14230002,-2.0252239199256863,0.1593526,18.410791,18.7156,17.945019,0.7705803,1.0640068,0.0,gmm2,50.22755210496416,0.01,0.7170099373078155,0.0,False,,
6440126340196447360,287.8432832091536,-60.81541444093176,0.3321968701845803,0.46503228,2.417320174594389,0.46442416,-8.189012967623984,0.4967357,19.903381,20.208673,19.017138,1.191536,1.0339468,0.0,gmm2,49.99252757628828,0.01,0.7798593444711933,0.0,False,,
6440126340197485440,287.8577068842428,-60.80570134445379,0.953591974602873,0.6458609,3.935016233431543,0.668387,-2.990821793936278,0.6212043,20.387295,20.700184,19.789036,0.9111481,0.96025705,0.0,gmm2,49.446501799484274,0.01,0.2547156011998654,0.0,False,,
6440126477637700992,287.9255716778316,-60.78595701873646,0.7025384429011763,0.61256254,2.441873840648809,0.6233886,-4.449501218688552,0.584899,20.352417,20.785065,19.521633,1.2634315,1.0257345,0.0,gmm2,48.48684231994536,0.01,0.837839619300971,0.0,False,,
6440126748219551488,287.7891373616973,-60.811054569600486,0.08793634402554,0.10952983,-0.676217209383241,0.102716565,-4.753583019788539,0.09977395,17.859266,18.201555,17.172432,1.0291233,0.9639263,0.0,gmm2,49.63438881248671,0.01,4.770772359561856e-12,0.0,False,,
6440127336629905280,287.8658802364964,-60.7623265289968,1.4703594579327155,0.57122135,5.332502678418585,0.571298,-12.677632176203852,0.5549586,20.21757,20.873976,18.95617,1.9178066,1.0505037,0.0,gmm2,46.87676768809279,0.01,7.005020207590134e-07,0.0,False,,
6440127950810426752,287.9323648734409,-60.78472197310026,0.3460237368647775,0.5701553,2.6175255457228856,0.5456622,-7.354340729754465,0.5163545,20.223555,20.631449,19.574448,1.0570011,0.9677514,0.0,gmm2,48.44013340932279,0.01,0.7976743844670803,0.0,False,,
6440128500566304000,288.0529813371508,-60.72822158034473,0.4463900192066722,0.35447606,1.7128188787131815,0.300759,-6.901500003015458,0.2754715,19.631586,20.0333,19.252884,0.7804165,1.0136919,0.0,gmm2,45.742017821843184,0.0123125516818909,0.0232580078732206,0.0,False,,
6440129222120840704,287.9968279804365,-60.6946158119231,0.0373364893964131,0.38639432,-5.677699393562815,0.3376565,-12.591677641233494,0.31388384,19.787535,20.14058,19.191149,0.94943047,1.0216374,0.0,gmm2,43.42037977764042,0.0224445996293981,0.4560915413059792,0.0,False,,
6440129256480576640,287.96537599355725,-60.6996744741462,0.1481297822135165,0.07636007,0.7748073773732208,0.063838966,-4.253703255166132,0.06770124,17.145712,17.592257,16.529556,1.0627003,1.0465095,0.0,gmm2,43.54677883120429,0.0217894349071901,5.0381144117392185e-23,0.0,False,,
6440130944401523840,287.39525712882016,-60.863371071028965,1.045529631810261,0.45452318,-2.512174371177976,0.38067603,-5.524310435859684,0.34590653,19.880781,20.166203,19.483719,0.6824837,0.95148903,0.0086159439983829,gmm2,53.60382735101359,0.01,0.0009827307616384,6.220910797695901e-05,False,,
6440131940834783872,287.34912545583893,-60.8496764483173,1.1464232510154162,0.7027658,2.08886439515028,0.66169757,-5.269404144208775,0.7248621,20.358646,21.202496,19.091955,2.1105404,1.0289886,0.0,gmm2,53.066603091455775,0.01,1.6275960135670137e-08,0.0,False,,
6440131970899754496,287.3654212028646,-60.8330327296034,0.239272799179454,0.39032662,5.779706368351935,0.34369633,-22.36268587186533,0.30337018,19.70956,20.34192,18.98675,1.3551712,1.0091794,0.0,gmm2,51.98875822590181,0.01,0.0201617216650314,0.0,False,,
6440132318791212288,287.5132476098668,-60.84673330912107,1.5846470451693089,0.6314749,9.285299117652524,0.5594318,5.533503810546696,0.5196049,20.236898,21.130453,19.02598,2.104473,0.9735174,0.0,gmm2,52.08858684113349,0.01,5.722327641971006e-10,0.0,False,,
6440132456229996800,287.46368396292684,-60.84778047442212,0.2301214210307503,0.1309968,1.3390913703867515,0.106554545,-5.915740690452268,0.11961167,17.966972,18.40482,17.398144,1.0066757,1.0331008,0.0,gmm2,52.34636047565503,0.01,1.1953589467662933e-08,0.0,False,,
6440132932972456192,287.5841893020207,-60.81285018894007,0.5062948096032243,0.3554863,-3.7096092546813857,0.2995313,-9.032800011335558,0.25610608,19.44129,20.246395,18.640192,1.6062031,1.0049859,0.0,gmm2,49.85486621526226,0.01,3.872671297924147e-11,0.0,False,,
6440133070411448960,287.6276054466967,-60.785171115710526,0.2626502039455981,0.5695435,0.9179783535398928,0.533748,-9.904203670620175,0.497851,19.970076,20.459932,19.476028,0.9839039,0.98632306,0.0,gmm2,48.10931158201874,0.01,0.5211482222276198,0.0,False,,
